description,amount,type,payment_mode,category
Monthly salary received,47474.02,Income,Cash,Salary
Medicine purchase,43153.34,Expense,Online,Health
New shoes from mall,44663.25,Expense,Card,Shopping
Yoga class payment,11026.85,Expense,UPI,Fitness
Vegetables and fruits,13999.61,Expense,Online,Grocery
Shopping for birthday gift,23232.94,Expense,UPI,Shopping
Bank transfer salary,24054.87,Income,Card,Salary
Bus fare,30599.28,Expense,Bank Transfer,Travel
Movie tickets,31554.21,Expense,UPI,Entertainment
Freelance graphic design,12775.35,Income,UPI,Freelance
Yoga class payment,19530.95,Expense,UPI,Fitness
New shoes from mall,38235.58,Expense,Cash,Shopping
Monthly rent,37380.1,Expense,Online,Rent
Freelance writing payment,48161.7,Income,UPI,Freelance
Bought groceries at supermarket,19704.85,Expense,UPI,Grocery
Yoga class payment,13937.99,Expense,Bank Transfer,Fitness
Vegetables and fruits,42640.72,Expense,Card,Grocery
Monthly gym subscription,36715.46,Expense,Card,Fitness
Dinner at restaurant,48325.21,Expense,Bank Transfer,Food
Yoga class payment,34199.25,Expense,Online,Fitness
Flight ticket booking,5100.89,Expense,UPI,Travel
Lunch at cafeteria,32435.18,Expense,Card,Food
Bought groceries at supermarket,25883.88,Expense,Card,Grocery
Hotel reservation,4053.07,Expense,Online,Travel
Hotel reservation,42093.38,Expense,Bank Transfer,Travel
Dinner at restaurant,23682.12,Expense,Card,Food
New shoes from mall,42798.12,Expense,Cash,Shopping
Netflix subscription,14651.67,Expense,Cash,Entertainment
Electricity bill payment,17748.43,Expense,UPI,Utilities
Petrol for bike,32876.15,Expense,Cash,Transport
Paid house rent,14274.93,Expense,UPI,Rent
Paid house rent,40982.67,Expense,Bank Transfer,Rent
Lab test fees,41312.89,Expense,Online,Health
Train ticket,23795.85,Expense,Bank Transfer,Transport
Freelance writing payment,4058.74,Income,UPI,Freelance
Doctor consultation,33621.8,Expense,Online,Health
Bought textbooks,27551.85,Expense,Online,Education
Bought groceries at supermarket,16086.6,Expense,Card,Grocery
Online course subscription,23113.44,Expense,Bank Transfer,Education
Online course subscription,1838.72,Expense,Bank Transfer,Education
Freelance web development,27261.97,Income,Online,Freelance
Electricity bill payment,29210.05,Expense,Cash,Utilities
Apartment maintenance fee,41434.12,Expense,Cash,Rent
Salary credited,3887.69,Income,Bank Transfer,Salary
Dinner at restaurant,9965.1,Expense,Online,Food
Netflix subscription,30337.93,Expense,Card,Entertainment
Water bill,41475.61,Expense,Cash,Utilities
New shoes from mall,39523.43,Expense,Cash,Shopping
Monthly grocery shopping,13191.03,Expense,Bank Transfer,Grocery
Online course subscription,42045.66,Expense,Bank Transfer,Education
Apartment maintenance fee,33558.96,Expense,Cash,Rent
Bought textbooks,37875.26,Expense,Card,Education
Hotel reservation,24722.46,Expense,Card,Travel
Medicine purchase,19179.69,Expense,Online,Health
Lunch at cafeteria,47526.35,Expense,Card,Food
Electricity bill payment,14995.14,Expense,Cash,Utilities
Online course subscription,14334.97,Expense,Online,Education
Water bill,43753.52,Expense,Card,Utilities
Electricity bill payment,47821.69,Expense,Card,Utilities
Bought groceries at supermarket,36664.66,Expense,Online,Grocery
Bank transfer salary,9909.85,Income,Bank Transfer,Salary
Dinner at restaurant,14226.45,Expense,Bank Transfer,Food
Ordered food online,42265.22,Expense,Bank Transfer,Food
Monthly gym subscription,4793.87,Expense,Bank Transfer,Fitness
College fee,45825.9,Expense,Online,Education
Bought protein powder,29657.7,Expense,Bank Transfer,Fitness
Hotel reservation,24037.46,Expense,UPI,Travel
Bought groceries at supermarket,10359.78,Expense,Card,Grocery
Monthly gym subscription,16923.87,Expense,Online,Fitness
Monthly gym subscription,40910.7,Expense,Cash,Fitness
Water bill,19870.2,Expense,Cash,Utilities
Bought protein powder,25684.97,Expense,Card,Fitness
Bought groceries at supermarket,124.92,Expense,Cash,Grocery
Shopping for birthday gift,772.78,Expense,Bank Transfer,Shopping
Flight ticket booking,37737.41,Expense,Card,Travel
Netflix subscription,3431.8,Expense,Card,Entertainment
Water bill,8738.91,Expense,UPI,Utilities
Yoga class payment,34878.77,Expense,UPI,Fitness
Monthly rent,47871.36,Expense,Card,Rent
Online course subscription,9910.43,Expense,Card,Education
Bought protein powder,25822.11,Expense,UPI,Fitness
Lab test fees,9290.99,Expense,Cash,Health
Lab test fees,48639.02,Expense,Cash,Health
Medicine purchase,29739.74,Expense,UPI,Health
Movie tickets,27186.77,Expense,Bank Transfer,Entertainment
Salary credited,41671.3,Income,Bank Transfer,Salary
Bank transfer salary,29619.79,Income,Bank Transfer,Salary
Shopping for birthday gift,48774.21,Expense,Card,Shopping
Medicine purchase,10434.01,Expense,UPI,Health
Bought groceries at supermarket,8007.93,Expense,Card,Grocery
Bought groceries at supermarket,12274.34,Expense,Online,Grocery
Train ticket,48653.73,Expense,Online,Transport
Movie tickets,13704.7,Expense,Online,Entertainment
Cab fare,5579.6,Expense,Online,Transport
Online course subscription,12516.08,Expense,Bank Transfer,Education
Netflix subscription,18284.37,Expense,UPI,Entertainment
Electricity bill payment,40944.32,Expense,UPI,Utilities
Internet subscription,23370.57,Expense,Bank Transfer,Utilities
Freelance writing payment,4942.24,Income,Online,Freelance
Water bill,16898.31,Expense,Bank Transfer,Utilities
College fee,34295.98,Expense,Cash,Education
Bought clothes online,2154.57,Expense,Online,Shopping
Salary credited,23530.68,Income,UPI,Salary
Concert ticket,42555.73,Expense,Bank Transfer,Entertainment
Flight ticket booking,41316.27,Expense,Card,Travel
Apartment maintenance fee,22846.16,Expense,Bank Transfer,Rent
Paid house rent,37248.7,Expense,UPI,Rent
Online course subscription,40253.06,Expense,Online,Education
Freelance web development,43723.4,Income,Online,Freelance
Online course subscription,27359.05,Expense,Online,Education
New shoes from mall,48652.84,Expense,Online,Shopping
Water bill,16736.13,Expense,Card,Utilities
Internet subscription,2244.48,Expense,UPI,Utilities
Internet subscription,41244.39,Expense,Cash,Utilities
Monthly salary received,22355.01,Income,Bank Transfer,Salary
Monthly gym subscription,30545.76,Expense,UPI,Fitness
Monthly gym subscription,36881.29,Expense,Online,Fitness
Monthly grocery shopping,36443.82,Expense,Online,Grocery
Flight ticket booking,12208.11,Expense,Bank Transfer,Travel
Monthly salary received,13621.56,Income,Cash,Salary
Bank transfer salary,29120.16,Income,Card,Salary
Hotel reservation,43570.37,Expense,Card,Travel
Vegetables and fruits,3765.12,Expense,UPI,Grocery
Water bill,27240.41,Expense,Bank Transfer,Utilities
Hotel reservation,11579.7,Expense,Online,Travel
Freelance writing payment,14360.83,Income,Bank Transfer,Freelance
Ordered food online,5324.06,Expense,UPI,Food
Bought textbooks,38603.15,Expense,Online,Education
Monthly salary received,29428.78,Income,Bank Transfer,Salary
Train ticket,13340.21,Expense,Cash,Transport
Bought protein powder,33357.71,Expense,UPI,Fitness
Petrol for bike,39247.42,Expense,Bank Transfer,Transport
Monthly grocery shopping,48486.72,Expense,Cash,Grocery
Freelance graphic design,3887.2,Income,Online,Freelance
Freelance writing payment,10648.52,Income,Online,Freelance
Dinner at restaurant,20333.45,Expense,Bank Transfer,Food
Flight ticket booking,940.95,Expense,Bank Transfer,Travel
Water bill,44874.07,Expense,UPI,Utilities
Bought protein powder,3257.62,Expense,Bank Transfer,Fitness
Monthly rent,44051.43,Expense,Cash,Rent
Internet subscription,7051.78,Expense,Online,Utilities
Doctor consultation,40610.84,Expense,Bank Transfer,Health
Vegetables and fruits,4391.8,Expense,Online,Grocery
Medicine purchase,12766.8,Expense,Online,Health
Movie tickets,14817.66,Expense,Online,Entertainment
Internet subscription,38052.13,Expense,Card,Utilities
Water bill,16570.35,Expense,Online,Utilities
Ordered food online,46859.14,Expense,Card,Food
Petrol for bike,37604.54,Expense,Bank Transfer,Transport
Paid house rent,11706.63,Expense,Bank Transfer,Rent
Vegetables and fruits,607.44,Expense,Card,Grocery
Freelance graphic design,3823.83,Income,Bank Transfer,Freelance
Monthly gym subscription,48290.96,Expense,Bank Transfer,Fitness
Cab fare,45937.29,Expense,Online,Transport
Shopping for birthday gift,42564.78,Expense,Bank Transfer,Shopping
Hotel reservation,11962.3,Expense,Bank Transfer,Travel
Monthly salary received,11023.56,Income,Bank Transfer,Salary
Bought protein powder,11916.38,Expense,UPI,Fitness
Online course subscription,34060.47,Expense,Bank Transfer,Education
Bus fare,30684.56,Expense,Online,Travel
Water bill,5584.38,Expense,Online,Utilities
Netflix subscription,44323.2,Expense,Bank Transfer,Entertainment
Dinner at restaurant,24369.69,Expense,UPI,Food
New shoes from mall,34886.87,Expense,Cash,Shopping
Yoga class payment,12047.62,Expense,Bank Transfer,Fitness
Petrol for bike,778.11,Expense,UPI,Transport
Online course subscription,17876.82,Expense,Bank Transfer,Education
Vegetables and fruits,36760.76,Expense,Bank Transfer,Grocery
Dinner at restaurant,28260.38,Expense,Bank Transfer,Food
Electricity bill payment,19587.87,Expense,UPI,Utilities
Bought clothes online,30812.41,Expense,UPI,Shopping
Bought clothes online,19790.84,Expense,Card,Shopping
Yoga class payment,19561.78,Expense,Card,Fitness
